# Last updated: February 2026
sha1,name,cover,system
4C5BD67EEE82A36CF695DB12169BC4393225FAA0,Anpfiff: Der RTL Fussball-Manager,,71747cdb-f026-4fea-a645-6eed365d218c
2CBA2B024EDB4B702D2ACABEFBCB310F4D6E2075,Antz,5/2/8/1528_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
85684D5891E4EC0F9FDF61B644BDF0FFBF1BA219,Antz,5/2/7/1527_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
E4FF55112A76DA72F30582476F15358527518CFD,Antz Racing,2/6/8/42268_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
806E641B911B302F5BE2A80B6003F473D1A10A88,Antz Racing,,71747cdb-f026-4fea-a645-6eed365d218c
D8DDF04BAAD3BEADEDF85847964F986BA89BC5EE,Antz World Sportz,2/8/7/95287_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
69EAF53ECCDAF98CD7CC0D436209F511B558D761,Aqualife,1/5/9/32159_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
F0F35970517090165797568448B5EF5CAD8E4952,Arcade Hits: Joust & Defender,,71747cdb-f026-4fea-a645-6eed365d218c
F0F35970517090165797568448B5EF5CAD8E4952,Arcade Hits: Joust & Defender,,71747cdb-f026-4fea-a645-6eed365d218c
8DC667E7D44B46AD42EC7E465091CFACC0009974,Arcade Hits: Moon Patrol & Spy Hunter,,71747cdb-f026-4fea-a645-6eed365d218c
8DC667E7D44B46AD42EC7E465091CFACC0009974,Arcade Hits: Moon Patrol & Spy Hunter,,71747cdb-f026-4fea-a645-6eed365d218c
FB781637DDAC30CEBB1865BA939F49BB2B0B5146,Arle no Bouken: Mahou no Jewel,4/2/6/39426_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
B8F911E6D6DC37B9BBFD565F6919A94F17BF3073,Armada: FX Racers,5/7/7/1577_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
2BE58EE1A3A76D1259A044C6C7C9DCD6DACF8405,Armorines: Project S.W.A.R.M.,6/1/4/1614_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
2BE58EE1A3A76D1259A044C6C7C9DCD6DACF8405,Armorines: Project S.W.A.R.M.,6/1/3/1613_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
E98CEA1A113BA4774CE26AB16D61625F0870B6AD,Army Men,,71747cdb-f026-4fea-a645-6eed365d218c
E98CEA1A113BA4774CE26AB16D61625F0870B6AD,Army Men,,71747cdb-f026-4fea-a645-6eed365d218c
4E1D964D31013E79ECAE4A49DCD3777CC7E06AF2,Army Men: Air Combat,6/2/4/1624_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
4E1D964D31013E79ECAE4A49DCD3777CC7E06AF2,Army Men: Air Combat,6/2/5/1625_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
9A2ADB5639C80282D7465F9C5D30ACB669991D8E,Army Men: Sarge's Heroes 2,6/5/9/10659_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
9A2ADB5639C80282D7465F9C5D30ACB669991D8E,Army Men: Sarge's Heroes 2,6/6/0/10660_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
6E52DCACA1A97AE557C4C87E4281667A9D9B14C5,Army Men 2,2/8/8/40288_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
6E52DCACA1A97AE557C4C87E4281667A9D9B14C5,Army Men 2,2/8/9/40289_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
CF1323CFD3FBE8BA8C9766A87A7C68D8B7E729F9,Arthur's Absolutely Fun Day!,2/8/5/40285_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
5F36071DF7BE289C169768B1683947E972D26996,Asterix & Obelix,8/6/6/28866_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
A4B892D269957D84570C07856C81F48F037B5A03,Asterix & Obelix vs Caesar,,71747cdb-f026-4fea-a645-6eed365d218c
5C7207137AB422D3326D183D3433DB161D8ECBC5,Asterix: Search for Dogmatix,,71747cdb-f026-4fea-a645-6eed365d218c
026F031E1BB787A4390E7873227DCB52A069A6E0,Asteroids,5/9/0/590_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
026F031E1BB787A4390E7873227DCB52A069A6E0,Asteroids,5/8/9/589_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
19DF06E2A8BE1336A6AEC8C86649B95B206DC54F,Atlantis: The Lost Empire,4/6/2/13462_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
EF4AB0DD852FFD1418C803C05DDCB245B3A4348D,Atlantis: The Lost Empire,4/6/2/13462_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
AB5DD8EFA36B33CE9AA090B3D990E8FC8828F7E2,Atlantis: The Lost Empire,4/6/2/13462_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
AB5DD8EFA36B33CE9AA090B3D990E8FC8828F7E2,Atlantis: The Lost Empire,4/6/3/13463_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
73B95F3B92C2D48A2580F7AC10950D56AEFFB94D,Atsumete Asobu Kuma no Pooh-san: Mori no Takaramono,,71747cdb-f026-4fea-a645-6eed365d218c
B3C6C2970C3BFA95FB2EEF10E2160F55F52D8E1A,ATV Racing,,71747cdb-f026-4fea-a645-6eed365d218c
3701028D66564625933A3868340813E6D7C36B7B,ATV Racing & Karate Joe,,71747cdb-f026-4fea-a645-6eed365d218c
95287B440139E88D90700F892D1DA60AAA4DA778,ATV Racing & Karate Joe,,71747cdb-f026-4fea-a645-6eed365d218c
A5D29D48B9BC3E1FA476E475DA24C2D80985188D,"Austin Powers: Oh, Behave!",3/8/1/40381_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
AA6CB6AB4FE083CBE0274C40BD30E0013A2F7645,"Austin Powers: Oh, Behave!",3/8/2/40382_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
69B5106A124BDE38184875C0DD08DE437360BC14,Austin Powers: Welcome to my Underground Lair!,5/6/2/39562_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
02C7C61928AB82B4A8A07BB067D5F5CA32511DF7,Austin Powers: Welcome to my Underground Lair!,5/6/1/39561_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
4C4C51883B6C73627CA9B04BB0B24E6BAB072F29,Les Aventures de Buzz l'Éclair,,71747cdb-f026-4fea-a645-6eed365d218c
F4278B01F445562D17A9A2FD8DD5C9BC9D32008E,Azarashi Sentai Inazuma: Dokidoki Daisakusen!,1/9/0/55190_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
81D9ACD0E27639F90E38E918A4B0A96FA565D1D9,Azure Dreams,6/7/8/1678_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
1EBC365058DBB4D4F7CCAD6185F4364D584BF250,Azure Dreams,6/7/7/1677_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
4904102846A5FD0176C6F4BFD421F86FB1FAB45B,B-Daman Bakugaiden: Victory e no Michi,1/4/3/32143_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
7933FE70912EE74F14199A149EDE69BDB153F4AD,B-Daman Bakugaiden V: Final Mega Tune,2/2/1/39221_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
51A4FD838903039B60BF5C13677CBEA6BBB7D368,Babe and Friends,6/8/0/1680_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
52A560185B7E77E5286771F7851F69323512658E,Babe and Friends,6/8/1/1681_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
6C924F693E08E32C0E59F386CD728BEB32D00105,Baby Felix: Halloween,1/9/8/27198_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
B634A2980EFE1378ECB26A761241D48F4604E5F0,Backgammon,5/1/8/41518_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
EB8B70E445174A812044CA5B101BDCB00C389940,Backgammon,5/1/9/41519_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
DA06158A4D3AED781E77A5F69FAAF522B0A98CBD,Bad Badtz-Maru Robo Battle,,71747cdb-f026-4fea-a645-6eed365d218c
952933A658F0B4182619E7184F49AA4A47FC5F84,Bakukyuu Renpatsu!! Super B-Daman: Gekitan! Rising Valkyrie!!,4/2/2/39422_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
50B115869BB9C488B3766C58EE44DE63A84BA489,Bakusou Dekotora Densetsu GB Special: Otoko Dokyou no Tenka Touitsu,4/1/2/40412_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
1F8088A739DF180ECCEAFF1B37ED5C1A50772405,Bakusou Senki Metal Walker GB: Koutetsu no Yuujou,,71747cdb-f026-4fea-a645-6eed365d218c
68D41BCA8D2AC8E9A6855460B15E6045ACD341A1,Bakuten Shoot Beyblade,5/7/7/43577_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
28DFDC00EC7E353F4AAE4C65D671300C0B97AB90,Ballistic,7/1/2/1712_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
DBAA1BF9061DE0F052704D6A33892341A38F2152,Balloon Fight GB,4/1/3/40413_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
7B342745F14F0A2245B961CFD6E23D1B2E98C249,Barbie: Aventura Submarina,,71747cdb-f026-4fea-a645-6eed365d218c
79EA73D94D2402525C718563B5613BEE71B69B44,Barbie: Avventure nell'Oceano,,71747cdb-f026-4fea-a645-6eed365d218c
BC44D39CCE1F3143E9FA830EDE2B4126A4D61B54,Barbie: Chasse au Tresor Sous-Marine,,71747cdb-f026-4fea-a645-6eed365d218c
3E93DF9512819679DEAC989895DE398A6159645C,Barbie: Diepzee Avontuur,,71747cdb-f026-4fea-a645-6eed365d218c
FECBDE9125D2CE9C8E772F9078EBACCD196CAA43,Barbie: Fashion Pack Games,3/0/4/39304_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
FECBDE9125D2CE9C8E772F9078EBACCD196CAA43,Barbie: Fashion Pack Games,3/0/3/39303_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
30E779F19CD8F8C979BDA38DD90E9798C742A66C,Barbie: Magic Genie Adventure,3/1/7/39317_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
C392AEFB3D657CAE6602E285F5FB57EC079A818E,Barbie: Meeres Abenteuer,,71747cdb-f026-4fea-a645-6eed365d218c
C0C37864E17F11FFFA8B8A61A0ABE4B2B80C235C,Barbie: Ocean Discovery,6/4/5/38645_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
FAB988692A19D53E71FC754DEA3A01506B104D9F,Barbie: Ocean Discovery,6/4/4/38644_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
191A42E0EAF6AFB58BC8AACA0EE8DAD0641594D4,Barbie: Pet Rescue,,71747cdb-f026-4fea-a645-6eed365d218c
FFED44AB063C4181D5DF85FF1304DE10FA6392CD,Barbie: Pet Rescue,3/1/2/39312_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
F81FE7427484D9C2AF043819690FAE9B81B29813,Barbie: Shelly Club,,71747cdb-f026-4fea-a645-6eed365d218c
24B8F400D74E9F0AA82D27D82A3B15DB3E743240,Barca Total 2000,3/1/9/41319_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
BC7847DEE730BA274F3C3CCB511F1DAD6B6A93C7,Barcode Taisen Bardigun,1/0/3/32103_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
B1BD238640E99E3584C8C4E4FA174FF144B600D6,Bass Masters Classic,2/9/6/38296_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
B1BD238640E99E3584C8C4E4FA174FF144B600D6,Bass Masters Classic,2/9/5/38295_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
47C8A56FA67D4982ED36FCA56EF0F33C451A0C49,Batman Beyond: Return of the Joker,,71747cdb-f026-4fea-a645-6eed365d218c
8C69EB7EC5BC809EDC8CAA255576F919EA722DAD,Batman Beyond: Return of the Joker,,71747cdb-f026-4fea-a645-6eed365d218c
102AA62C873B7316B1B019D895989DCDEDB776A9,Batman of the Future: Return of the Joker,2/3/3/10233_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
25D063B151C2D45A14D6952196490615B7E341C5,Battle Fishers,,71747cdb-f026-4fea-a645-6eed365d218c
48A6CC9C5695378A118DEB6B1035C15A26D476D7,Battleship,1/8/1/39181_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
48A6CC9C5695378A118DEB6B1035C15A26D476D7,Battleship,,71747cdb-f026-4fea-a645-6eed365d218c
5078584E86C0B6F4687C424CC00BBD762BA6573A,BattleTanx,,71747cdb-f026-4fea-a645-6eed365d218c
D9F52594F79257DC616428A694C1F2C808797361,BattleTanx,8/3/5/1835_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
90C0AB55136235D75A4E35BD5B0D90A99D2A42C4,Beach'n Ball,2/3/0/10230_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
A5C2BB5244FE0FD6D2710C832F66F8F8B8C2BBAB,Bear in the Big Blue House,,71747cdb-f026-4fea-a645-6eed365d218c
E4C1C58025A083C067F752490C1FBD816C93D072,Bear in the Big Blue House,,71747cdb-f026-4fea-a645-6eed365d218c
640C4633FE8EC60B767C15A094C87AB7E113D555,Beatmania GB,2/3/1/20231_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
DCD054D461CDE099DF09ED61A77B05FBACD7AF0B,Beatmania GB: Gotcha Mix 2,5/1/2/40512_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
B6273C434E880D6F9B5F4F6F53307BDA9902FFF1,Beatmania GB2: Gotcha Mix,7/0/4/38704_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
6D389C7AFF887D7FFE3739E78753CF81CC71D04C,Beauty and the Beast: A Board Game Adventure,2/9/7/38297_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
2DD29D52972948724F989008F7896D0ADCBA67C4,Beauty and the Beast: A Board Game Adventure,2/9/8/38298_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
560FC8468ED559A72087F630EFF015FFB8DE22CA,Benjamin Bluemchen: Ein verrueckter Tag im Zoo,,71747cdb-f026-4fea-a645-6eed365d218c
ACA5562C6747BC2F127ADA53F853B099ED6E12CD,Beyblade: Fighting Tournament,2/3/7/40237_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
1E26308BA5EE640540430A0B02D5F30E3BE38832,Bibi Blocksberg: Im Bann der Hexenkugel,,71747cdb-f026-4fea-a645-6eed365d218c
59843CED1E9CBCB02C6ACBB8F533EC77B314882C,Bibi und Tina: Fohlen Felix in Gefahr,,71747cdb-f026-4fea-a645-6eed365d218c
C3C608F1B3581A070C9B7EB65B6FB6D1B72D98D3,Bikkuriman 2000: Charging Card GB,4/7/5/39475_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
9331FB3103A23340192968715ADAA1E4EF140329,Billy Bob's Huntin' 'n' Fishin',3/2/8/38328_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
9331FB3103A23340192968715ADAA1E4EF140329,Billy Bob's Huntin' 'n' Fishin',3/2/7/38327_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
09CA57FEDC0C876F6C172E0DC73D616A6D66EA69,Biohazard Gaiden,5/7/2/15572_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
33C28A2183F8B95CC2D8E0B6A0B005BFC230F1FC,Bionic Commando: Elite Forces,,71747cdb-f026-4fea-a645-6eed365d218c
33C28A2183F8B95CC2D8E0B6A0B005BFC230F1FC,Bionic Commando: Elite Forces,8/9/1/1891_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
0E8D93CD183A53ABA67780372C71CCA71E92A9C1,Black Bass: Lure Fishing,5/4/4/55544_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
0E8D93CD183A53ABA67780372C71CCA71E92A9C1,Black Bass: Lure Fishing,5/4/3/55543_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
B0F009023A25E575B59E55DEC07CDA2826F48B65,The Black Onyx,4/6/4/42464_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
AAAD2F4ED8DBB4455704896F8FF0BC70E7D50B65,Blade,7/0/4/9704_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
AAAD2F4ED8DBB4455704896F8FF0BC70E7D50B65,Blade,7/0/5/9705_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
8B2E83D7F2B7D72D5CC1AC81C28C2173AD2FC9BA,Blaster Master: Enemy Below,4/3/2/11432_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
